n_reinas,epochs,best_cost,schedule
13,26100,0,"{'tmax': 68.0, 'tmin': 0.1, 'steps': 1200000, 'updates': 100}"
13,619,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 1200000, 'updates': 100}"
13,31741,0,"{'tmax': 45.0, 'tmin': 0.15, 'steps': 1200000, 'updates': 100}"
13,237757,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 1200000, 'updates': 100}"
13,23552,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 1200000, 'updates': 100}"
13,44523,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 1300000, 'updates': 100}"
13,64577,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 1200000, 'updates': 100}"
14,215661,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 1100000, 'updates': 100}"
14,47280,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1100000, 'updates': 100}"
14,4880,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 1100000, 'updates': 100}"
14,279475,0,"{'tmax': 75.0, 'tmin': 0.11, 'steps': 1100000, 'updates': 100}"
14,179362,0,"{'tmax': 36.0, 'tmin': 0.13, 'steps': 1100000, 'updates': 100}"
14,326225,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 1100000, 'updates': 100}"
14,48811,0,"{'tmax': 33.0, 'tmin': 0.11, 'steps': 1100000, 'updates': 100}"
14,69682,0,"{'tmax': 75.0, 'tmin': 0.17, 'steps': 1100000, 'updates': 100}"
14,314850,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 1100000, 'updates': 100}"
14,65941,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1100000, 'updates': 100}"
14,30925,0,"{'tmax': 75.0, 'tmin': 0.17, 'steps': 1100000, 'updates': 100}"
14,95639,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1100000, 'updates': 100}"
14,373717,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 1100000, 'updates': 100}"
14,114212,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1100000, 'updates': 100}"
14,96542,0,"{'tmax': 54.0, 'tmin': 0.2, 'steps': 1100000, 'updates': 100}"
14,79145,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1100000, 'updates': 100}"
14,179729,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 1100000, 'updates': 100}"
14,598526,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 1100000, 'updates': 100}"
14,26964,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 1100000, 'updates': 100}"
14,165570,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 1100000, 'updates': 100}"
15,194666,0,"{'tmax': 39.0, 'tmin': 0.087, 'steps': 970000, 'updates': 100}"
15,452032,0,"{'tmax': 39.0, 'tmin': 0.087, 'steps': 990000, 'updates': 100}"
15,64348,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 980000, 'updates': 100}"
15,473925,0,"{'tmax': 39.0, 'tmin': 0.13, 'steps': 980000, 'updates': 100}"
15,52680,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 980000, 'updates': 100}"
15,371166,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 980000, 'updates': 100}"
15,149710,0,"{'tmax': 39.0, 'tmin': 0.087, 'steps': 980000, 'updates': 100}"
15,148558,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 990000, 'updates': 100}"
15,370111,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 990000, 'updates': 100}"
15,453002,0,"{'tmax': 39.0, 'tmin': 0.13, 'steps': 980000, 'updates': 100}"
15,122820,0,"{'tmax': 39.0, 'tmin': 0.13, 'steps': 980000, 'updates': 100}"
15,509573,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 990000, 'updates': 100}"
15,452171,0,"{'tmax': 39.0, 'tmin': 0.13, 'steps': 990000, 'updates': 100}"
15,97697,0,"{'tmax': 81.0, 'tmin': 0.13, 'steps': 990000, 'updates': 100}"
15,595348,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 990000, 'updates': 100}"
15,269054,0,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 990000, 'updates': 100}"
15,36076,0,"{'tmax': 36.0, 'tmin': 0.087, 'steps': 990000, 'updates': 100}"
15,13255,0,"{'tmax': 39.0, 'tmin': 0.087, 'steps': 980000, 'updates': 100}"
15,347554,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 980000, 'updates': 100}"
15,445257,0,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 990000, 'updates': 100}"
16,524395,0,"{'tmax': 63.0, 'tmin': 0.1, 'steps': 880000, 'updates': 100}"
16,251550,0,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 880000, 'updates': 100}"
16,490651,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 870000, 'updates': 100}"
16,512972,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 880000, 'updates': 100}"
16,444744,0,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 860000, 'updates': 100}"
16,500070,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 870000, 'updates': 100}"
16,431774,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 870000, 'updates': 100}"
16,246110,0,"{'tmax': 42.0, 'tmin': 0.15, 'steps': 880000, 'updates': 100}"
