n_reinas,epochs,best_cost,schedule
88,36806,0,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 37000, 'updates': 100}"
88,36734,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 37000, 'updates': 100}"
89,36000,1,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
89,33839,0,"{'tmax': 52.0, 'tmin': 0.049, 'steps': 36000, 'updates': 100}"
89,36000,1,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 36000, 'updates': 100}"
89,34147,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
89,37000,1,"{'tmax': 76.0, 'tmin': 0.073, 'steps': 37000, 'updates': 100}"
90,33807,0,"{'tmax': 80.0, 'tmin': 0.049, 'steps': 36000, 'updates': 100}"
90,36000,1,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
90,36000,1,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
90,35000,3,"{'tmax': 80.0, 'tmin': 0.17, 'steps': 35000, 'updates': 100}"
90,34457,0,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
91,35000,2,"{'tmax': 78.0, 'tmin': 0.11, 'steps': 35000, 'updates': 100}"
91,30844,0,"{'tmax': 52.0, 'tmin': 0.049, 'steps': 35000, 'updates': 100}"
91,30322,0,"{'tmax': 52.0, 'tmin': 0.049, 'steps': 35000, 'updates': 100}"
91,35000,1,"{'tmax': 78.0, 'tmin': 0.11, 'steps': 35000, 'updates': 100}"
91,33882,0,"{'tmax': 80.0, 'tmin': 0.11, 'steps': 35000, 'updates': 100}"
92,31192,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
92,31228,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
92,34000,1,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
92,32883,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
92,31405,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
93,33000,3,"{'tmax': 78.0, 'tmin': 0.17, 'steps': 33000, 'updates': 100}"
93,34000,2,"{'tmax': 80.0, 'tmin': 0.11, 'steps': 34000, 'updates': 100}"
93,33000,1,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
